type_hotel,location,rating,reviewer,distance,type_bed,area,price
27,hotel,"
06 Luong Ngoc Quyen Str Hoan Kiem Dist, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 72 đánh giá,"
4,7 km
","
1 giường đôi lớn

",22 m²,"
VND 1.060.000
"
28,hotel,"
06 Luong Ngoc Quyen Str Hoan Kiem Dist, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 72 đánh giá,"
4,7 km
","
1 giường đôi lớn

",25 m²,"
VND 1.390.000
"
29,hotel,"
06 Luong Ngoc Quyen Str Hoan Kiem Dist, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 72 đánh giá,"
4,7 km
","
1 giường đơn

",28 m²,"
VND 1.499.999
"
30,hotel,"
06 Luong Ngoc Quyen Str Hoan Kiem Dist, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 72 đánh giá,"
4,7 km
","
1 giường đôi cực lớn

",32 m²,"
VND 1.509.999
"
31,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
2 giường đơn

",26 m²,"
VND 2.000.320
"
32,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
1 giường đôi cực lớn

",28 m²,"
VND 2.210.880
"
33,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
1 giường đôi cực lớn

",34 m²,"
VND 2.632.000
"
34,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
2 giường đơn

",32 m²,"
VND 2.895.200
"
35,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
1 giường đơn

",32 m²,"
VND 3.158.400
"
36,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
1 giường đôi cực lớn

",35 m²,"
VND 3.579.520
"
37,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
3 giường đơn

",38 m²,"
VND 3.680.589
"
38,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
1 giường đơn

",35 m²,"
VND 4.000.640
"
39,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
1 giường đôi cực lớn

",50 m²,"
VND 3.790.080
"
40,hotel,"
22A Ta Hien Street, Hang Buom, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 595 đánh giá,"
4,9 km
","
3 giường đơn

",50 m²,"
VND 4.527.040
"
41,hotel,"
05-07 Hàng Hòm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 609 đánh giá,"
4,2 km
","
1 giường đôi lớn

",20 m²,"
VND 2.524.500
"
42,hotel,"
05-07 Hàng Hòm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 609 đánh giá,"
4,2 km
","
1 giường đôi lớn

",23 m²,"
VND 2.722.500
"
43,hotel,"
05-07 Hàng Hòm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 609 đánh giá,"
4,2 km
","
2 giường đơn

",24 m²,"
VND 2.722.500
"
