type_hotel,location,rating,reviewer,distance,type_bed,area,price
262,local hotel,"
11 Lieu Giai, Ba Dinh, Quận Ba Đình, Hà Nội, Việt Nam
","8,4", · 100 đánh giá,"
3,9 km
",,55 m²,"
VND 4.410.000
"
263,local hotel,"
82, Dao Tan Street, Ba Dinh District, Quận Ba Đình, Hà Nội, Việt Nam
","8,4", · 60 đánh giá,"
4,8 km
","
1 giường đôi lớn

",18 m²,"
VND 2.193.714
"
264,local hotel,"
82, Dao Tan Street, Ba Dinh District, Quận Ba Đình, Hà Nội, Việt Nam
","8,4", · 60 đánh giá,"
4,8 km
","
2 giường đơn

",22 m²,"
VND 2.659.410
"
265,local hotel,"
82, Dao Tan Street, Ba Dinh District, Quận Ba Đình, Hà Nội, Việt Nam
","8,4", · 60 đánh giá,"
4,8 km
","
2 giường đơn

",25 m²,"
VND 2.128.230
"
266,local hotel,"
82, Dao Tan Street, Ba Dinh District, Quận Ba Đình, Hà Nội, Việt Nam
","8,4", · 60 đánh giá,"
4,8 km
","
1 giường đôi lớn

",35 m²,"
VND 2.467.476
"
267,local hotel,"
69 Nguyễn Trường Tộ, Trúc Bạch, Ba Đình, Hanoi, Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","9,4", · 26 đánh giá,"
2,3 km
","
1 giường đôi lớn

",Studio nguyên căn,"
VND 2.960.000
"
268,local hotel,"
69 Nguyễn Trường Tộ, Trúc Bạch, Ba Đình, Hanoi, Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","9,4", · 26 đánh giá,"
2,3 km
","
1 giường đôi lớn

",Studio nguyên căn,"
VND 3.280.000
"
269,local hotel,"
69 Nguyễn Trường Tộ, Trúc Bạch, Ba Đình, Hanoi, Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","9,4", · 26 đánh giá,"
2,3 km
","
1 giường đôi lớn

",Studio nguyên căn,"
VND 3.600.000
"
270,local hotel,"
số 30A, Ngõ 173 Hoàng Hoa Thám. phường Ngọc Hà, quận Ba Đình Tòa nhà 6 tầng, Quận Ba Đình, Hà Nội, Việt Nam
","9,9", · 15 đánh giá,"
2,9 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
271,local hotel,"
số 30A, Ngõ 173 Hoàng Hoa Thám. phường Ngọc Hà, quận Ba Đình Tòa nhà 6 tầng, Quận Ba Đình, Hà Nội, Việt Nam
","9,9", · 15 đánh giá,"
2,9 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
272,local hotel,"
số 30A, Ngõ 173 Hoàng Hoa Thám. phường Ngọc Hà, quận Ba Đình Tòa nhà 6 tầng, Quận Ba Đình, Hà Nội, Việt Nam
","9,9", · 15 đánh giá,"
2,9 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
273,local hotel,"
số 30A, Ngõ 173 Hoàng Hoa Thám. phường Ngọc Hà, quận Ba Đình Tòa nhà 6 tầng, Quận Ba Đình, Hà Nội, Việt Nam
","9,9", · 15 đánh giá,"
2,9 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
274,local hotel,"
số 30A, Ngõ 173 Hoàng Hoa Thám. phường Ngọc Hà, quận Ba Đình Tòa nhà 6 tầng, Quận Ba Đình, Hà Nội, Việt Nam
","9,9", · 15 đánh giá,"
2,9 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
275,local hotel,"
17E Phan Dinh Phung, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 1.407 đánh giá,"
1,9 km
","
2 giường đơn

",18 m²,"
VND 924.160
"
276,local hotel,"
17E Phan Dinh Phung, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 1.407 đánh giá,"
1,9 km
","
1 giường đôi lớn

",20 m²,"
VND 1.155.200
"
277,local hotel,"
17E Phan Dinh Phung, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 1.407 đánh giá,"
1,9 km
","
1 giường đôi lớn

",30 m²,"
VND 1.265.400
"
278,local hotel,"
17E Phan Dinh Phung, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 1.407 đánh giá,"
1,9 km
","
1 giường đơn

",30 m²,"
VND 1.406.000
"
279,local hotel,"
54 Lieu Giai Street, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 579 đánh giá,0,"
1 giường đôi cực lớn

",42 m²,"
VND 6.129.423
"
280,local hotel,"
54 Lieu Giai Street, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 579 đánh giá,0,"
1 giường đôi cực lớn

",42 m²,"
VND 6.129.423
"
281,local hotel,"
54 Lieu Giai Street, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 579 đánh giá,0,,61 m²,"
VND 7.000.175
"
282,local hotel,"
54 Lieu Giai Street, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 579 đánh giá,0,,61 m²,"
VND 8.261.397
"
283,local hotel,"
54 Lieu Giai Street, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 579 đánh giá,0,,99 m²,"
VND 6.201.175
"
284,local hotel,"
54 Lieu Giai Street, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 579 đánh giá,0,,147 m²,"
VND 7.355.331
"
285,local hotel,"
8 Ngõ 55 Đường Hoàng Hoa Thám, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 6 đánh giá,0,"
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
286,local hotel,"
8 Ngõ 55 Đường Hoàng Hoa Thám, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 6 đánh giá,0,"
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
288,local hotel,"
8 Ngõ 55 Đường Hoàng Hoa Thám, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 6 đánh giá,0,"
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.100.000
"
289,local hotel,"
143 Kim Mã, Quận Ba Đình, Hà Nội, Việt Nam
","8,6", · 205 đánh giá,"
2,8 km
","
1 giường đôi cực lớn

",25 m²,"
VND 649.800
"
290,local hotel,"
143 Kim Mã, Quận Ba Đình, Hà Nội, Việt Nam
","8,6", · 205 đánh giá,"
2,8 km
","
1 giường đôi cực lớn

",25 m²,"
VND 1.555.200
"
291,local hotel,"
143 Kim Mã, Quận Ba Đình, Hà Nội, Việt Nam
","8,6", · 205 đánh giá,"
2,8 km
","
1 giường đôi cực lớn

",25 m²,"
VND 1.684.210
"
292,local hotel,"
143 Kim Mã, Quận Ba Đình, Hà Nội, Việt Nam
","8,6", · 205 đánh giá,"
2,8 km
","
1 giường đôi cực lớn

",30 m²,"
VND 1.964.912
"
293,local hotel,"
143 Kim Mã, Quận Ba Đình, Hà Nội, Việt Nam
","8,6", · 205 đánh giá,"
2,8 km
","
1 giường đôi cực lớn

",25 m²,"
VND 2.245.614
"
294,local hotel,"
6B Lang Ha Street, Quận Ba Đình, Hà Nội, Việt Nam
","7,1", · 44 đánh giá,"
3,6 km
","
2 giường đơn

",25 m²,"
                VND 3.372.761
            "
295,local hotel,"
6B Lang Ha Street, Quận Ba Đình, Hà Nội, Việt Nam
","7,1", · 44 đánh giá,"
3,6 km
","
1 giường đôi lớn

",25 m²,"
VND 3.898.800
"
296,local hotel,"
6B Lang Ha Street, Quận Ba Đình, Hà Nội, Việt Nam
","7,1", · 44 đánh giá,"
3,6 km
","
2 giường đơn

",60 m²,"
VND 4.546.800
"
297,local hotel,"
6B Lang Ha Street, Quận Ba Đình, Hà Nội, Việt Nam
","7,1", · 44 đánh giá,"
3,6 km
","
1 giường đôi lớn

",0,"
VND 3.639.600
"
298,local hotel,"
Ngõ 99 Phố Lê Hồng Phong, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 3 đánh giá,"
2,4 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 920.000
"
299,local hotel,"
Ngõ 99 Phố Lê Hồng Phong, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 3 đánh giá,"
2,4 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 966.000
"
300,local hotel,"
Ngõ 99 Phố Lê Hồng Phong, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 3 đánh giá,"
2,4 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 960.000
"
301,local hotel,"
Ngõ 99 Phố Lê Hồng Phong, Quận Ba Đình, Hà Nội, Việt Nam
",10, · 3 đánh giá,"
2,4 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.008.000
"
302,local hotel,"
59 Nguyen Khac Hieu, Truc Bach, Ba Dinh, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 200 đánh giá,0,,Căn hộ nguyên căn,"
VND 1.200.000
"
303,local hotel,"
59 Nguyen Khac Hieu, Truc Bach, Ba Dinh, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 200 đánh giá,0,,Căn hộ nguyên căn,"
VND 1.260.000
"
304,local hotel,"
59 Nguyen Khac Hieu, Truc Bach, Ba Dinh, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 200 đánh giá,0,,Căn hộ nguyên căn,"
VND 1.380.000
"
305,local hotel,"
45 Hang Bun , Quận Ba Đình, Hà Nội, Việt Nam
","8,2", · 62 đánh giá,"
2,4 km
","
1 giường đôi cực lớn

",25 m²,"
VND 1.100.000
"
306,local hotel,"
45 Hang Bun , Quận Ba Đình, Hà Nội, Việt Nam
","8,2", · 62 đánh giá,"
2,4 km
","
1 giường đôi lớn

",25 m²,"
VND 1.300.000
"
307,local hotel,"
45 Hang Bun , Quận Ba Đình, Hà Nội, Việt Nam
","8,2", · 62 đánh giá,"
2,4 km
","
2 giường đơn

",45 m²,"
VND 1.700.000
"
308,local hotel,"
45 Hang Bun , Quận Ba Đình, Hà Nội, Việt Nam
","8,2", · 62 đánh giá,"
2,4 km
","
1 giường đôi lớn

",30 m²,"
VND 1.700.000
"
309,local hotel,"
45 Hang Bun , Quận Ba Đình, Hà Nội, Việt Nam
","8,2", · 62 đánh giá,"
2,4 km
","
3 giường đơn

",50 m²,"
VND 2.600.000
"
310,local hotel,"
62 Phạm Huy Thông Ngọc Khánh , Ba Đình , Hanoi , Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","9,4", · 225 đánh giá,"
4,4 km
","
1 giường đôi lớn

",18 m²,"
VND 1.120.000
"
311,local hotel,"
62 Phạm Huy Thông Ngọc Khánh , Ba Đình , Hanoi , Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","9,4", · 225 đánh giá,"
4,4 km
","
1 giường đôi lớn

",22 m²,"
VND 1.398.000
"
312,local hotel,"
62 Phạm Huy Thông Ngọc Khánh , Ba Đình , Hanoi , Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","9,4", · 225 đánh giá,"
4,4 km
","
2 giường đôi lớn

",22 m²,"
VND 1.260.000
"
314,local hotel,"
Số 1 ngõ 7 Liễu Giai, Quận Ba Đình, Hà Nội, Việt Nam
","9,0", · 56 đánh giá,"
3,9 km
","
1 giường đôi cực lớn

",Studio nguyên căn,"
VND 1.700.000
"
316,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,"
2 giường đơn

",45 m²,"
VND 5.180.000
"
317,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,"
1 giường đôi cực lớn

",48 m²,"
VND 6.580.000
"
318,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,"
1 giường sofa

",50 m²,"
VND 7.180.000
"
319,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,"
2 giường đơn

",46 m²,"
VND 8.580.000
"
320,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,"
1 giường đôi cực lớn

",46 m²,"
VND 5.880.000
"
321,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,"
2 giường đơn

",78 m²,"
VND 5.980.000
"
322,local hotel,"
B7 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","9,5", · 43 đánh giá,0,,90 m²,"
VND 7.380.000
"
323,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,"
1 giường đôi cực lớn

",32 m²,"
                VND 2.982.787
            "
324,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,"
2 giường đơn

",38 m²,"
VND 3.216.510
"
325,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,"
1 giường đôi cực lớn

",38 m²,"
VND 4.327.052
"
326,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,"
1 giường đôi cực lớn

",46 m²,"
VND 4.543.405
"
327,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,"
2 giường đơn

",65 m²,"
VND 3.672.900
"
328,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,,76 m²,"
VND 4.554.396
"
329,local hotel,"
146 Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
","8,8", · 209 đánh giá,0,,0,"
VND 4.782.116
"
330,local hotel,"
99 Lane 135 Doi Can street, Ba Dinh district, Hanoi, Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","8,5", · 132 đánh giá,"
2,6 km
","
1 giường đôi cực lớn

",17 m²,"
VND 733.320
"
331,local hotel,"
99 Lane 135 Doi Can street, Ba Dinh district, Hanoi, Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","8,5", · 132 đánh giá,"
2,6 km
","
1 giường đôi cực lớn

",18 m²,"
VND 995.220
"
332,local hotel,"
99 Lane 135 Doi Can street, Ba Dinh district, Hanoi, Vietnam, Quận Ba Đình, Hà Nội, Việt Nam
","8,5", · 132 đánh giá,"
2,6 km
","
1 giường tầng

",25 m²,"
VND 261.900
"
333,local hotel,"
29 Liễu Giai, Quận Ba Đình, Hà Nội, Việt Nam
","8,5", · 25 đánh giá,"
3,9 km
",,Căn hộ nguyên căn,"
VND 3.940.000
"
334,local hotel,"
29 Liễu Giai, Quận Ba Đình, Hà Nội, Việt Nam
","8,5", · 25 đánh giá,"
3,9 km
",,Căn hộ nguyên căn,"
VND 5.900.000
"
335,local hotel,"
29 Liễu Giai, Quận Ba Đình, Hà Nội, Việt Nam
","8,5", · 25 đánh giá,"
3,9 km
",,Căn hộ nguyên căn,"
VND 9.998.000
"
336,local hotel,"
Số 3 ngõ 77 lê hồng phong, ba đình, Quận Ba Đình, Hà Nội, Việt Nam
","7,9", · 111 đánh giá,"
2,4 km
",,Căn hộ nguyên căn,"
VND 810.000
"
337,local hotel,"
Số 3 ngõ 77 lê hồng phong, ba đình, Quận Ba Đình, Hà Nội, Việt Nam
","7,9", · 111 đánh giá,"
2,4 km
",,Căn hộ nguyên căn,"
VND 900.000
"
338,local hotel,"
Số 3 ngõ 77 lê hồng phong, ba đình, Quận Ba Đình, Hà Nội, Việt Nam
","7,9", · 111 đánh giá,"
2,4 km
",,Căn hộ nguyên căn,"
VND 810.000
"
339,local hotel,"
160 Ngọc Hà 20, tầng 1, Quận Ba Đình, Hà Nội, Việt Nam
","7,7", · 112 đánh giá,"
2,7 km
","
1 giường tầng

",50 m²,"
VND 540.000
"
340,local hotel,"
160 Ngọc Hà 20, tầng 1, Quận Ba Đình, Hà Nội, Việt Nam
","7,7", · 112 đánh giá,"
2,7 km
","
2 giường đôi lớn

",30 m²,"
VND 700.000
"
341,local hotel,"
160 Ngọc Hà 20, tầng 1, Quận Ba Đình, Hà Nội, Việt Nam
","7,7", · 112 đánh giá,"
2,7 km
","
1 giường đôi lớn

",30 m²,"
VND 800.000
"
342,local hotel,"
160 Ngọc Hà 20, tầng 1, Quận Ba Đình, Hà Nội, Việt Nam
","7,7", · 112 đánh giá,"
2,7 km
","
4 giường tầng

",30 m²,"
VND 500.000
"
343,local hotel,"
160 Ngọc Hà 20, tầng 1, Quận Ba Đình, Hà Nội, Việt Nam
","7,7", · 112 đánh giá,"
2,7 km
","
4 giường tầng

",40 m²,"
VND 540.000
"
344,local hotel,"
160 Ngọc Hà 20, tầng 1, Quận Ba Đình, Hà Nội, Việt Nam
","7,7", · 112 đánh giá,"
2,7 km
","
2 giường đôi

",30 m²,"
VND 486.000
"
345,local hotel,"
109 Ngõ 189 Hoàng Hoa Thám, Quận Ba Đình, Hà Nội, Việt Nam
",0,0,0,"
1 giường đôi lớn

",35 m²,"
VND 577.500
"
346,local hotel,"
87 Nguyễn Trường Tộ Truc Bach Ward, Ba Dinh District, Hanoi, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 45 đánh giá,"
2,5 km
","
2 giường đơn

",25 m²,"
VND 2.034.900
"
347,local hotel,"
87 Nguyễn Trường Tộ Truc Bach Ward, Ba Dinh District, Hanoi, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 45 đánh giá,"
2,5 km
","
1 giường đôi

",30 m²,"
VND 2.394.000
"
348,local hotel,"
87 Nguyễn Trường Tộ Truc Bach Ward, Ba Dinh District, Hanoi, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 45 đánh giá,"
2,5 km
","
2 giường đơn

",33 m²,"
VND 2.356.200
"
349,local hotel,"
87 Nguyễn Trường Tộ Truc Bach Ward, Ba Dinh District, Hanoi, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 45 đánh giá,"
2,5 km
","
1 giường đôi lớn

",35 m²,"
VND 2.772.000
"
350,local hotel,"
87 Nguyễn Trường Tộ Truc Bach Ward, Ba Dinh District, Hanoi, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 45 đánh giá,"
2,5 km
","
2 giường đơn

",45 m²,"
VND 2.677.500
"
351,local hotel,"
20 Linh Lang, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 49 đánh giá,"
4,5 km
","
1 giường đôi cực lớn

",Căn hộ nguyên căn,"
VND 1.450.000
"
353,local hotel,"
20 Linh Lang, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 49 đánh giá,"
4,5 km
",,Căn hộ nguyên căn,"
VND 1.500.000
"
354,local hotel,"
20 Linh Lang, Quận Ba Đình, Hà Nội, Việt Nam
","9,1", · 49 đánh giá,"
4,5 km
",,Căn hộ nguyên căn,"
VND 1.500.000
"
355,hotel,"
17 Hang Ga, Hang Bo, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 489 đánh giá,"
2 km
","
2 giường đơn

",20 m²,"
VND 1.100.000
"
356,hotel,"
17 Hang Ga, Hang Bo, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 489 đánh giá,"
2 km
","
1 giường đôi

",25 m²,"
VND 1.290.000
"
357,hotel,"
17 Hang Ga, Hang Bo, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 489 đánh giá,"
2 km
","
1 giường đôi

",25 m²,"
VND 1.290.000
"
358,hotel,"
17 Hang Ga, Hang Bo, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 489 đánh giá,"
2 km
","
2 giường đơn

",30 m²,"
VND 1.400.000
"
359,hotel,"
17 Hang Ga, Hang Bo, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 489 đánh giá,"
2 km
","
1 giường đôi cực lớn

",45 m²,"
VND 1.880.000
"
360,hotel,"
17 Hang Ga, Hang Bo, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 489 đánh giá,"
2 km
","
2 giường đơn

",45 m²,"
VND 2.400.000
"
361,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
2 giường đơn

",20 m²,"
VND 1.485.000
"
362,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
1 giường đôi lớn

",21 m²,"
VND 1.584.000
"
363,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
2 giường đơn

",22 m²,"
VND 1.881.000
"
364,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
1 giường đôi lớn

",25 m²,"
VND 2.156.880
"
365,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
2 giường đơn

",32 m²,"
VND 1.941.192
"
366,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
1 giường đôi

",32 m²,"
VND 2.805.000
"
367,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
2 giường đôi lớn

",45 m²,"
VND 3.432.000
"
368,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
2 giường đôi lớn

",40 m²,"
VND 3.630.000
"
369,hotel,"
20 Lo Su Street , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 669 đánh giá,0,"
2 giường đơn

",45 m²,"
VND 3.630.000
"
370,hotel,"
67, Hang Thiec Road, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 342 đánh giá,"
5,2 km
","
1 giường đôi cực lớn

",25 m²,"
VND 704.000
"
371,hotel,"
67, Hang Thiec Road, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 342 đánh giá,"
5,2 km
","
2 giường đơn

",25 m²,"
VND 1.344.000
"
372,hotel,"
67, Hang Thiec Road, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 342 đánh giá,"
5,2 km
","
1 giường đôi cực lớn

",28 m²,"
VND 1.472.000
"
373,hotel,"
67, Hang Thiec Road, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 342 đánh giá,"
5,2 km
","
2 giường đơn

",35 m²,"
VND 2.048.000
"
374,hotel,"
94 Ly Thuong Kiet Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,4", · 88 đánh giá,"
2 km
","
2 giường đơn

",25 m²,"
VND 2.480.000
"
375,hotel,"
94 Ly Thuong Kiet Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,4", · 88 đánh giá,"
2 km
","
1 giường đôi lớn

",25 m²,"
VND 2.790.000
"
376,hotel,"
94 Ly Thuong Kiet Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,4", · 88 đánh giá,"
2 km
","
1 giường đôi lớn

",27 m²,"
VND 2.940.000
"
377,hotel,"
94 Ly Thuong Kiet Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,4", · 88 đánh giá,"
2 km
","
1 giường đôi lớn

",37 m²,"
VND 3.560.000
"
378,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
1 giường đôi lớn

",25 m²,"
VND 986.000
"
379,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
2 giường đơn

",25 m²,"
VND 4.237.978
"
380,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
1 giường đôi lớn

",30 m²,"
VND 4.708.866
"
381,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
2 giường đơn

",35 m²,"
VND 5.640.750
"
382,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
1 giường đôi

",40 m²,"
VND 6.267.501
"
383,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
2 giường đơn

",50 m²,"
VND 6.666.341
"
384,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
1 giường đôi

",50 m²,"
VND 7.407.046
"
385,hotel,"
1C Tong Dan, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,2", · 59 đánh giá,"
3,3 km
","
3 giường đơn

",25 m²,"
VND 7.691.932
"
386,hotel,"
26 Nam Ngư, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,7", · 28 đánh giá,0,"
2 giường đôi cực lớn

",17 m²,"
VND 1.438.880
"
387,hotel,"
26 Nam Ngư, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,7", · 28 đánh giá,0,"
1 giường đôi

",21 m²,"
VND 1.564.000
"
388,hotel,"
26 Nam Ngư, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,7", · 28 đánh giá,0,"
1 giường đôi

",30 m²,"
VND 1.294.992
"
389,hotel,"
26 Nam Ngư, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,7", · 28 đánh giá,0,"
1 giường đôi lớn

",170 m²,"
VND 1.407.600
"
390,hotel,"
22 Miếu Đầm, Mễ Trì, Từ Liêm, Hà Nội, Vietnam, Hà Nội, Việt Nam
","8,4", · 24 đánh giá,"
7,7 km
","
1 giường đôi lớn

",25 m²,"
VND 2.100.000
"
391,hotel,"
22 Miếu Đầm, Mễ Trì, Từ Liêm, Hà Nội, Vietnam, Hà Nội, Việt Nam
","8,4", · 24 đánh giá,"
7,7 km
","
1 giường đôi lớn

",27 m²,"
VND 2.400.000
"
392,hotel,"
22 Miếu Đầm, Mễ Trì, Từ Liêm, Hà Nội, Vietnam, Hà Nội, Việt Nam
","8,4", · 24 đánh giá,"
7,7 km
","
1 giường đôi lớn

",30 m²,"
VND 2.700.000
"
393,hotel,"
22 Miếu Đầm, Mễ Trì, Từ Liêm, Hà Nội, Vietnam, Hà Nội, Việt Nam
","8,4", · 24 đánh giá,"
7,7 km
","
1 giường đôi cực lớn

",35 m²,"
VND 3.100.000
"
394,hotel,"
22 Miếu Đầm, Mễ Trì, Từ Liêm, Hà Nội, Vietnam, Hà Nội, Việt Nam
","8,4", · 24 đánh giá,"
7,7 km
","
1 giường đơn

",38 m²,"
VND 3.600.000
"
395,hotel,"
6 Ngõ 80 Trần Duy Hưng, Cau Giay, Hà Nội, Việt Nam
","9,1", · 121 đánh giá,0,"
1 giường đôi lớn

",22 m²,"
VND 603.500
"
396,hotel,"
6 Ngõ 80 Trần Duy Hưng, Cau Giay, Hà Nội, Việt Nam
","9,1", · 121 đánh giá,0,"
1 giường đôi lớn

",22 m²,"
VND 1.148.775
"
397,hotel,"
6 Ngõ 80 Trần Duy Hưng, Cau Giay, Hà Nội, Việt Nam
","9,1", · 121 đánh giá,0,"
1 giường đôi lớn

",25 m²,"
VND 1.216.350
"
